i,u,eta_F,load,power,prod,eff,eff_m,prod_m,power_m
134,1.29647702,0.073592,0.017282737,0.017282737,0.036894234,2.134744871,205.4223124,5.656749587,0.000137546
135,1.297122395,0.074607538,0.01742038,0.01742038,0.037682488,2.163126631,206.1982683,5.726797033,0.000137643
136,1.297765411,0.075628238,0.017558119,0.017558119,0.038480967,2.191633753,206.9639772,5.797024854,0.00013774
137,1.298406086,0.076654056,0.017695955,0.017695955,0.039289707,2.220264884,207.7194687,5.867428117,0.000137836
138,1.299044438,0.077684947,0.017833886,0.017833886,0.040108743,2.24901867,208.4647733,5.93800191,0.000137931
139,1.299680487,0.078720867,0.017971912,0.017971912,0.040938107,2.277893761,209.1999215,6.008741337,0.000138026
140,1.300314249,0.079761771,0.018110033,0.018110033,0.041777833,2.306888807,209.9249444,6.079641523,0.000138121
141,1.300945743,0.080807614,0.018248249,0.018248249,0.042627954,2.336002459,210.6398736,6.150697612,0.000138215
142,1.301574987,0.081858352,0.018386558,0.018386558,0.0434885,2.36523337,211.3447408,6.221904767,0.000138309
143,1.302201998,0.082913939,0.01852496,0.01852496,0.044359503,2.394580194,212.0395784,6.293258174,0.000138403
144,1.302826793,0.083974331,0.018663456,0.018663456,0.045240994,2.424041589,212.724419,6.364753038,0.000138496
145,1.30344939,0.085039483,0.018802044,0.018802044,0.046133001,2.453616212,213.3992956,6.436384586,0.000138588
146,1.304069806,0.08610935,0.018940725,0.018940725,0.047035553,2.483302723,214.0642416,6.508148065,0.00013868
147,1.304688056,0.087183887,0.019079497,0.019079497,0.047948679,2.513099784,214.719291,6.580038747,0.000138772
148,1.305304159,0.088263048,0.01921836,0.01921836,0.048872407,2.543006059,215.3644779,6.652051925,0.000138864
149,1.30591813,0.08934679,0.019357315,0.019357315,0.049806762,2.573020214,215.9998369,6.724182913,0.000138955
150,1.306529984,0.090435067,0.01949636,0.01949636,0.050751772,2.603140918,216.625403,6.796427051,0.000139045
151,1.307139739,0.091527834,0.019635495,0.019635495,0.051707462,2.63336684,217.2412115,6.868779701,0.000139135
152,1.30774741,0.092625047,0.01977472,0.01977472,0.052673857,2.663696654,217.8472982,6.941236249,0.000139225
153,1.308353013,0.093726659,0.019914035,0.019914035,0.05365098,2.694129036,218.4436991,7.013792106,0.000139315
154,1.308956562,0.094832627,0.020053438,0.020053438,0.054638855,2.724662664,219.0304506,7.086442707,0.000139404
155,1.309558074,0.095942905,0.020192931,0.020192931,0.055637506,2.755296218,219.6075897,7.159183511,0.000139492
156,1.310157564,0.097057449,0.020332511,0.020332511,0.056646953,2.786028382,220.1751534,7.232010005,0.000139581
157,1.310755045,0.098176213,0.02047218,0.02047218,0.05766722,2.816857842,220.7331794,7.304917698,0.000139668
158,1.311350534,0.099299152,0.020611936,0.020611936,0.058698326,2.847783288,221.2817054,7.377902127,0.000139756
159,1.311944044,0.100426222,0.020751779,0.020751779,0.059740292,2.878803411,221.8207697,7.450958855,0.000139843
160,1.312535591,0.101557379,0.020891709,0.020891709,0.060793137,2.909916907,222.3504109,7.524083472,0.00013993
161,1.313125188,0.102692576,0.021031725,0.021031725,0.06185688,2.941122475,222.8706679,7.597271592,0.000140016
162,1.313712849,0.10383177,0.021171828,0.021171828,0.06293154,2.972418815,223.3815799,7.670518861,0.000140103
163,1.314298589,0.104974915,0.021312016,0.021312016,0.064017133,3.003804633,223.8831865,7.743820947,0.000140188
164,1.314882421,0.106121967,0.02145229,0.02145229,0.065113678,3.035278637,224.3755275,7.817173549,0.000140274
165,1.31546436,0.107272881,0.021592649,0.021592649,0.06622119,3.066839539,224.8586432,7.890572394,0.000140359
166,1.316044417,0.108427613,0.021733093,0.021733093,0.067339684,3.098486053,225.3325742,7.964013235,0.000140444
167,1.316622608,0.109586119,0.021873621,0.021873621,0.068469177,3.130216899,225.7973612,8.037491855,0.000140528
168,1.317198945,0.110748353,0.022014233,0.022014233,0.069609681,3.1620308,226.2530454,8.111004065,0.000140612
169,1.317773441,0.111914271,0.022154928,0.022154928,0.070761212,3.193926481,226.6996683,8.184545706,0.000140696
170,1.318346109,0.11308383,0.022295707,0.022295707,0.071923782,3.225902673,227.1372715,8.258112647,0.000140779
171,1.318916963,0.114256984,0.02243657,0.02243657,0.073097404,3.257958108,227.5658972,8.331700787,0.000140862
172,1.319486014,0.11543369,0.022577515,0.022577515,0.07428209,3.290091527,227.9855876,8.405306054,0.000140945
173,1.320053276,0.116613903,0.022718542,0.022718542,0.07547785,3.322301669,228.3963853,8.478924406,0.000141027
174,1.32061876,0.117797579,0.022859652,0.022859652,0.076684696,3.354587281,228.7983332,8.552551832,0.000141109
